prompt,story_text,genre,length
A detective receives a letter with no return address.,"A detective receives a letter with no return address. A new ally appears, offering wisdom and guidance.",Mystery,17
An old wizard offers you two potions.,"An old wizard offers you two potions. Danger lurks in every corner, but hope keeps you moving.",Sci-Fi,17
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The world around you shifts into something unrecognizable.,Adventure,16
You wake up in a haunted castle.,You wake up in a haunted castle. Your courage is tested as the story unfolds.,Adventure,15
An old wizard offers you two potions.,An old wizard offers you two potions. You feel a strange energy guiding your path forward.,Fantasy,16
A stranger gives you a key with strange symbols.,"A stranger gives you a key with strange symbols. A new ally appears, offering wisdom and guidance.",Mystery,17
The king announces a dangerous quest.,The king announces a dangerous quest. The path ahead splits into choices with unknown fates.,Adventure,15
You wake up in a haunted castle.,You wake up in a haunted castle. You uncover secrets that change your destiny forever.,Horror,15
You stumble upon a secret underground library.,You stumble upon a secret underground library. You uncover secrets that change your destiny forever.,Adventure,15
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. You feel a strange energy guiding your path forward.,Sci-Fi,18
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The path ahead splits into choices with unknown fates.,Sci-Fi,17
A detective receives a letter with no return address.,A detective receives a letter with no return address. The path ahead splits into choices with unknown fates.,Fantasy,18
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The world around you shifts into something unrecognizable.,Sci-Fi,19
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The world around you shifts into something unrecognizable.,Sci-Fi,17
An old wizard offers you two potions.,An old wizard offers you two potions. The artifact in your hand begins to glow with power.,Adventure,17
A mysterious glowing stone appears in the forest.,"A mysterious glowing stone appears in the forest. Danger lurks in every corner, but hope keeps you moving.",Mystery,18
The king announces a dangerous quest.,The king announces a dangerous quest. The artifact in your hand begins to glow with power.,Sci-Fi,16
The king announces a dangerous quest.,The king announces a dangerous quest. Your courage is tested as the story unfolds.,Adventure,14
You wake up in a haunted castle.,You wake up in a haunted castle. The world around you shifts into something unrecognizable.,Sci-Fi,15
You wake up in a haunted castle.,"You wake up in a haunted castle. Danger lurks in every corner, but hope keeps you moving.",Mystery,17
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The path ahead splits into choices with unknown fates.,Sci-Fi,17
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. Voices whisper promises of power and betrayal.,Mystery,13
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The path ahead splits into choices with unknown fates.,Mystery,18
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. The journey takes an unexpected turn as shadows creep closer.,Horror,19
The king announces a dangerous quest.,The king announces a dangerous quest. The world around you shifts into something unrecognizable.,Adventure,14
An old wizard offers you two potions.,An old wizard offers you two potions. You feel a strange energy guiding your path forward.,Adventure,16
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Voices whisper promises of power and betrayal.,Fantasy,16
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. You feel a strange energy guiding your path forward.,Mystery,20
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. Your courage is tested as the story unfolds.,Adventure,14
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The world around you shifts into something unrecognizable.,Mystery,14
A detective receives a letter with no return address.,A detective receives a letter with no return address. Voices whisper promises of power and betrayal.,Fantasy,16
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. The artifact in your hand begins to glow with power.,Fantasy,19
A detective receives a letter with no return address.,A detective receives a letter with no return address. The path ahead splits into choices with unknown fates.,Fantasy,18
A detective receives a letter with no return address.,A detective receives a letter with no return address. The path ahead splits into choices with unknown fates.,Adventure,18
A stranger gives you a key with strange symbols.,"A stranger gives you a key with strange symbols. Danger lurks in every corner, but hope keeps you moving.",Fantasy,19
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The world around you shifts into something unrecognizable.,Horror,14
An old wizard offers you two potions.,An old wizard offers you two potions. You feel a strange energy guiding your path forward.,Horror,16
A detective receives a letter with no return address.,A detective receives a letter with no return address. The artifact in your hand begins to glow with power.,Horror,19
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Your courage is tested as the story unfolds.,Sci-Fi,17
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. You feel a strange energy guiding your path forward.,Adventure,20
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. The journey takes an unexpected turn as shadows creep closer.,Sci-Fi,19
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The world around you shifts into something unrecognizable.,Fantasy,17
You wake up in a haunted castle.,You wake up in a haunted castle. The journey takes an unexpected turn as shadows creep closer.,Mystery,17
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The path ahead splits into choices with unknown fates.,Mystery,18
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The world around you shifts into something unrecognizable.,Sci-Fi,17
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The journey takes an unexpected turn as shadows creep closer.,Fantasy,19
A detective receives a letter with no return address.,A detective receives a letter with no return address. The path ahead splits into choices with unknown fates.,Mystery,18
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Your courage is tested as the story unfolds.,Horror,17
The king announces a dangerous quest.,The king announces a dangerous quest. Voices whisper promises of power and betrayal.,Fantasy,13
You stumble upon a secret underground library.,You stumble upon a secret underground library. You feel a strange energy guiding your path forward.,Fantasy,16
You stumble upon a secret underground library.,You stumble upon a secret underground library. The path ahead splits into choices with unknown fates.,Sci-Fi,16
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. Voices whisper promises of power and betrayal.,Horror,16
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. You feel a strange energy guiding your path forward.,Adventure,18
A detective receives a letter with no return address.,A detective receives a letter with no return address. Voices whisper promises of power and betrayal.,Adventure,16
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. You feel a strange energy guiding your path forward.,Mystery,20
The king announces a dangerous quest.,The king announces a dangerous quest. The path ahead splits into choices with unknown fates.,Mystery,15
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. You uncover secrets that change your destiny forever.,Adventure,17
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The journey takes an unexpected turn as shadows creep closer.,Horror,16
You find a map with an 'X' marked in the desert.,"You find a map with an 'X' marked in the desert. Danger lurks in every corner, but hope keeps you moving.",Sci-Fi,21
You wake up in a haunted castle.,You wake up in a haunted castle. Voices whisper promises of power and betrayal.,Sci-Fi,14
An old wizard offers you two potions.,An old wizard offers you two potions. Your courage is tested as the story unfolds.,Mystery,15
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. You feel a strange energy guiding your path forward.,Mystery,15
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The journey takes an unexpected turn as shadows creep closer.,Sci-Fi,21
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Your courage is tested as the story unfolds.,Sci-Fi,17
